127.0.0.1 - - [22/Nov/2018:23:41:57 +0900] "GET / HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [22/Nov/2018:23:42:10 +0900] "GET /library/stylesheet/main.js HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [22/Nov/2018:23:42:10 +0900] "GET /library/view/ HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [22/Nov/2018:23:42:10 +0900] "GET /library/stylesheet/login.css HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [22/Nov/2018:23:42:10 +0900] "GET /favicon.ico HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [22/Nov/2018:23:42:20 +0900] "POST /library/Login.action HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [22/Nov/2018:23:42:20 +0900] "GET /library/stylesheet/menu.css HTTP/1.1" 200 1302
0:0:0:0:0:0:0:1 - - [22/Nov/2018:23:42:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [22/Nov/2018:23:42:30 +0900] "GET /library/Logout.action HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [22/Nov/2018:23:42:30 +0900] "GET /library/stylesheet/login.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:23:42:30 +0900] "GET /stylesheet/main.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [22/Nov/2018:23:42:30 +0900] "GET /favicon.ico HTTP/1.1" 404 1116
